meet_name,swim_time,swim_date,full_desc,team_code,team_short_name,full_name_computed,gender,birth_date,event_id,standard_name,RANK,Rank_Order,fina_points,meet_city,country_code
Hancock Prospecting Australian Swimming Trials 2021,57.45,13/06/2021,Women 100 Backstroke LCM Female,AUS,Australia,"MCKEOWN, Kaylee",F,12/07/2001,,,1,1,1006,Adelaide,AUS
Olympic Games Tokyo 2020,57.47,27/07/2021,Women 100 Backstroke LCM Female,AUS,Australia,"MCKEOWN, Kaylee",F,12/07/2001,,,2,2,1005,Tokyo,JPN
Australian Swimming Trials,57.50,14/06/2023,Women 100 Backstroke LCM Female,AUS,Australia,"MCKEOWN, Kaylee",F,12/07/2001,,,3,3,997,Melbourne,AUS
World Aquatics Championships - Fukuoka 2023,57.53,25/07/2023,Women 100 Backstroke LCM Female,AUS,Australia,"MCKEOWN, Kaylee",F,12/07/2001,,,4,4,995,Fukuoka,JPN
18th FINA World Championships 2019,57.57,28/07/2019,Women 100 Backstroke LCM Female,USA,United States of America,"SMITH, Regan",F,09/02/2002,,,5,5,1022,Gwangju,KOR
Sydney Open 2021,57.63,14/05/2021,Women 100 Backstroke LCM Female,AUS,Australia,"MCKEOWN, Kaylee",F,12/07/2001,,,6,6,996,Sydney,AUS
19th FINA World Championships Budapest 2022,57.65,19/06/2022,Women 100 Backstroke LCM Female,USA,United States of America,"SMITH, Regan",F,09/02/2002,,,7,7,989,Budapest,HUN
World Aquatics Championships - Fukuoka 2023,57.68,30/07/2023,Women 100 Backstroke LCM Female,USA,United States of America,"SMITH, Regan",F,09/02/2002,,,8,8,988,Fukuoka,JPN
Olympic Swimming Trials 2020,57.70,19/06/2021,Women 100 Backstroke LCM Female,CAN,Canada,"MASSE, Kylie",F,18/01/1996,,,9,9,993,Toronto,CAN
Phillips 66 National Championships (50m),57.71,30/06/2023,Women 100 Backstroke LCM Female,USA,United States of America,"SMITH, Regan",F,09/02/2002,,,10,10,986,Indianapolis,USA
Olympic Games Tokyo 2020,57.72,27/07/2021,Women 100 Backstroke LCM Female,CAN,Canada,"MASSE, Kylie",F,18/01/1996,,,11,11,992,Tokyo,JPN
Phillips 66 International Team Trials 2022,57.76,29/04/2022,Women 100 Backstroke LCM Female,USA,United States of America,"SMITH, Regan",F,09/02/2002,,,12,12,983,Greensboro,USA
World Aquatics Championships - Fukuoka 2023,57.78,25/07/2023,Women 100 Backstroke LCM Female,USA,United States of America,"SMITH, Regan",F,09/02/2002,,,13,13,982,Fukuoka,JPN
NSW State Open Championships 2023,57.84,11/03/2023,Women 100 Backstroke LCM Female,AUS,Australia,"MCKEOWN, Kaylee",F,12/07/2001,,,14,14,979,Sydney,AUS
Olympic Games Tokyo 2020,57.86,26/07/2021,Women 100 Backstroke LCM Female,USA,United States of America,"SMITH, Regan",F,09/02/2002,,,15,15,985,Tokyo,JPN
Olympic Games Tokyo 2020,57.88,25/07/2021,Women 100 Backstroke LCM Female,AUS,Australia,"MCKEOWN, Kaylee",F,12/07/2001,,,16,16,984,Tokyo,JPN
Australian National Championships (50m),57.90,18/04/2023,Women 100 Backstroke LCM Female,AUS,Australia,"MCKEOWN, Kaylee",F,12/07/2001,,,17,17,976,Gold Coast,AUS
TYR Pro Swim Series Westmont 2023,57.90,14/04/2023,Women 100 Backstroke LCM Female,USA,United States of America,"SMITH, Regan",F,09/02/2002,,,17,18,976,Westmont,USA
Olympic Games Tokyo 2020,57.90,01/08/2021,Women 100 Backstroke LCM Female,CAN,Canada,"MASSE, Kylie",F,18/01/1996,,,17,19,982,Tokyo,JPN
World Aquatics Championships - Fukuoka 2023,57.91,30/07/2023,Women 100 Backstroke LCM Female,AUS,Australia,"MCKEOWN, Kaylee",F,12/07/2001,,,20,20,976,Fukuoka,JPN
TYR Pro Swim Series Fort Lauderdale 2023,57.92,04/03/2023,Women 100 Backstroke LCM Female,USA,United States of America,"SMITH, Regan",F,09/02/2002,,,21,21,975,Fort Lauderdale,USA
US Olympic Team Trials - Wave II,57.92,14/06/2021,Women 100 Backstroke LCM Female,USA,United States of America,"SMITH, Regan",F,09/02/2002,,,21,22,981,Omaha,USA
Victorian Open Championships 2023,57.93,18/02/2023,Women 100 Backstroke LCM Female,AUS,Australia,"MCKEOWN, Kaylee",F,12/07/2001,,,23,23,975,Melbourne,AUS
McDonald’s Queensland Championships 2020,57.93,13/12/2020,Women 100 Backstroke LCM Female,AUS,Australia,"MCKEOWN, Kaylee",F,12/07/2001,,,23,24,981,Brisbane,AUS
Toyota US Open 2022,57.95,02/12/2022,Women 100 Backstroke LCM Female,USA,United States of America,"SMITH, Regan",F,09/02/2002,,,25,25,974,Greensboro,USA
Olympic Games Tokyo 2020,57.96,25/07/2021,Women 100 Backstroke LCM Female,USA,United States of America,"SMITH, Regan",F,09/02/2002,,,26,26,979,Tokyo,JPN
US National Championships (50m),58.00,28/07/2018,Women 100 Backstroke LCM Female,USA,United States of America,"BAKER, Kathleen",F,28/02/1997,,,27,27,1005,Irvine,USA
Phillips 66 National Championships (50m),58.01,30/06/2023,Women 100 Backstroke LCM Female,USA,United States of America,"BERKOFF, Katharine",F,28/01/2001,,,28,28,971,Indianapolis,USA
Olympic Games Tokyo 2020,58.01,01/08/2021,Women 100 Backstroke LCM Female,AUS,Australia,"MCKEOWN, Kaylee",F,12/07/2001,,,28,29,977,Tokyo,JPN
Phillips 66 National Championships (50m),58.04,30/06/2023,Women 100 Backstroke LCM Female,USA,United States of America,"SMITH, Regan",F,09/02/2002,,,30,30,969,Indianapolis,USA
Olympic Games Tokyo 2020,58.05,01/08/2021,Women 100 Backstroke LCM Female,USA,United States of America,"SMITH, Regan",F,09/02/2002,,,31,31,975,Tokyo,JPN
Olympic Games Tokyo 2020,58.05,27/07/2021,Women 100 Backstroke LCM Female,USA,United States of America,"SMITH, Regan",F,09/02/2002,,,31,32,975,Tokyo,JPN
European Championships 2021,58.08,23/05/2021,Women 100 Backstroke LCM Female,GBR,Great Britain,"DAWSON, Kathleen",F,03/10/1997,,,33,33,973,Budapest,HUN
Olympic Games Tokyo 2020,58.09,26/07/2021,Women 100 Backstroke LCM Female,CAN,Canada,"MASSE, Kylie",F,18/01/1996,,,34,34,973,Tokyo,JPN
17th FINA World Championships 2017,58.10,25/07/2017,Women 100 Backstroke LCM Female,CAN,Canada,"MASSE, Kylie",F,18/01/1996,,,35,35,1001,Budapest,HUN
Olympic Games Tokyo 2020,58.11,26/07/2021,Women 100 Backstroke LCM Female,AUS,Australia,"MCKEOWN, Kaylee",F,12/07/2001,,,36,36,972,Tokyo,JPN
Swimming QLD Prep meet,58.11,14/11/2020,Women 100 Backstroke LCM Female,AUS,Australia,"MCKEOWN, Kaylee",F,12/07/2001,,,36,37,972,Brisbane,AUS
13th FINA World Championships 2009,58.12,28/07/2009,Women 100 Backstroke LCM Female,GBR,Great Britain,"SPOFFORTH, Gemma",F,17/11/1987,,,38,38,,Rome,ITA
Olympic Swimming Trials 2020,58.13,19/06/2021,Women 100 Backstroke LCM Female,CAN,Canada,"MASSE, Kylie",F,18/01/1996,,,39,39,971,Toronto,CAN
Sydney Open 2021,58.14,14/05/2021,Women 100 Backstroke LCM Female,AUS,Australia,"MCKEOWN, Kaylee",F,12/07/2001,,,40,40,970,Sydney,AUS
Canadian Swimming Trials 2019,58.16,03/04/2019,Women 100 Backstroke LCM Female,CAN,Canada,"MASSE, Kylie",F,18/01/1996,,,41,41,991,Toronto,CAN
Olympic Games Tokyo 2020,58.17,25/07/2021,Women 100 Backstroke LCM Female,CAN,Canada,"MASSE, Kylie",F,18/01/1996,,,42,42,969,Tokyo,JPN
European Championships 2021,58.18,21/05/2021,Women 100 Backstroke LCM Female,GBR,Great Britain,"DAWSON, Kathleen",F,03/10/1997,,,43,43,968,Budapest,HUN
TYR Pro Swim Series Des Moines 2020,58.18,07/03/2020,Women 100 Backstroke LCM Female,USA,United States of America,"SMITH, Regan",F,09/02/2002,,,43,44,968,Des Moines,USA
17th FINA World Championships 2017,58.18,24/07/2017,Women 100 Backstroke LCM Female,CAN,Canada,"MASSE, Kylie",F,18/01/1996,,,43,45,996,Budapest,HUN
