meet_name,swim_time,swim_date,full_desc,team_code,team_short_name,full_name_computed,gender,birth_date,event_id,standard_name,RANK,Rank_Order,fina_points,meet_city,country_code
17th FINA World Championships 2017,51.71,23/07/2017,Women 100 Freestyle LCM Female,SWE,Sweden,"SJOESTROEM, Sarah",F,17/08/1993,,,1,1,1020,Budapest,HUN
Olympic Games Tokyo 2020,51.96,30/07/2021,Women 100 Freestyle LCM Female,AUS,Australia,"MCKEON, Emma",F,24/05/1994,,,2,2,985,Tokyo,JPN
13th Pan Pacific Championships 2018,52.03,10/08/2018,Women 100 Freestyle LCM Female,AUS,Australia,"CAMPBELL, Cate",F,20/05/1992,,,3,3,981,Tokyo,JPN
18th FINA World Championships 2019,52.04,26/07/2019,Women 100 Freestyle LCM Female,USA,United States of America,"MANUEL, Simone",F,02/08/1996,,,4,4,981,Gwangju,KOR
Swimming Australia Grand Prix 2016,52.06,02/07/2016,Women 100 Freestyle LCM Female,AUS,Australia,"CAMPBELL, Cate",F,20/05/1992,,,5,5,1000,Brisbane,AUS
13th FINA World Championships 2009,52.07,31/07/2009,Women 100 Freestyle LCM Female,GER,Germany,"STEFFEN, Britta",F,16/11/1983,,,6,6,,Rome,ITA
World Aquatics Championships - Fukuoka 2023,52.08,23/07/2023,Women 100 Freestyle LCM Female,AUS,Australia,"O'CALLAGHAN, Mollie",F,02/04/2004,,,7,7,978,Fukuoka,JPN
Mare Nostrum -  Meeting International de Canet-en-Roussillon 2017,52.08,18/06/2017,Women 100 Freestyle LCM Female,SWE,Sweden,"SJOESTROEM, Sarah",F,17/08/1993,,,7,8,998,Canet-en-Roussillon,FRA
Hancock Prospecting Australian Swimming Trials 2019,52.12,13/06/2019,Women 100 Freestyle LCM Female,AUS,Australia,"CAMPBELL, Cate",F,20/05/1992,,,9,9,976,Brisbane,AUS
Olympic Games Tokyo 2020,52.13,28/07/2021,Women 100 Freestyle LCM Female,AUS,Australia,"MCKEON, Emma",F,24/05/1994,,,10,10,976,Tokyo,JPN
World Aquatics Championships - Fukuoka 2023,52.16,28/07/2023,Women 100 Freestyle LCM Female,AUS,Australia,"O'CALLAGHAN, Mollie",F,02/04/2004,,,11,11,974,Fukuoka,JPN
Hancock Prospecting Australian Swimming Trials 2021,52.19,16/06/2021,Women 100 Freestyle LCM Female,AUS,Australia,"MCKEON, Emma",F,24/05/1994,,,12,12,972,Adelaide,AUS
13th FINA World Championships 2009,52.22,26/07/2009,Women 100 Freestyle LCM Female,GER,Germany,"STEFFEN, Britta",F,16/11/1983,,,13,13,,Rome,ITA
18th FINA World Championships 2019,52.23,21/07/2019,Women 100 Freestyle LCM Female,SWE,Sweden,"SJOESTROEM, Sarah",F,17/08/1993,,,14,14,970,Gwangju,KOR
World Aquatics Championships - Fukuoka 2023,52.24,23/07/2023,Women 100 Freestyle LCM Female,SWE,Sweden,"SJOESTROEM, Sarah",F,17/08/1993,,,15,15,969,Fukuoka,JPN
Olympic Games Tokyo 2020,52.27,30/07/2021,Women 100 Freestyle LCM Female,HKG,"Hong Kong, China","HAUGHEY, Siobhan Bernadette",F,31/10/1997,,,16,16,968,Tokyo,JPN
21st Commonwealth Games 2018,52.27,09/04/2018,Women 100 Freestyle LCM Female,AUS,Australia,"CAMPBELL, Bronte",F,14/05/1994,,,16,17,968,Gold Coast,AUS
17th FINA World Championships 2017,52.27,28/07/2017,Women 100 Freestyle LCM Female,USA,United States of America,"MANUEL, Simone",F,02/08/1996,,,16,18,987,Budapest,HUN
World Aquatics Championships - Fukuoka 2023,52.28,23/07/2023,Women 100 Freestyle LCM Female,AUS,Australia,"JACK, Shayna",F,06/11/1998,,,19,19,967,Fukuoka,JPN
Mare Nostrum - Trofeu Internacional Ciutat de Barcelona 2017,52.28,14/06/2017,Women 100 Freestyle LCM Female,SWE,Sweden,"SJOESTROEM, Sarah",F,17/08/1993,,,19,20,987,Barcelona,ESP
Sydney Open 2021,52.29,13/05/2021,Women 100 Freestyle LCM Female,AUS,Australia,"MCKEON, Emma",F,24/05/1994,,,21,21,967,Sydney,AUS
17th FINA World Championships 2017,52.31,28/07/2017,Women 100 Freestyle LCM Female,SWE,Sweden,"SJOESTROEM, Sarah",F,17/08/1993,,,22,22,985,Budapest,HUN
