meet_name,swim_time,swim_date,full_desc,team_code,team_short_name,full_name_computed,gender,birth_date,event_id,standard_name,RANK,Rank_Order,fina_points,meet_city,country_code
19th FINA World Championships Budapest 2022,51.60,20/06/2022,Men 100 Backstroke LCM Male,ITA,Italy,"CECCON, Thomas",M,27/01/2001,,,1,1,1014,Budapest,HUN
Russian National Swimming Cup Final,51.82,26/07/2023,Men 100 Backstroke LCM Male,CLB,Club,"KOLESNIKOV, Kliment",M,09/07/2000,,,2,2,987,kazan,RUS
Olympic Games Rio 2016,51.85,13/08/2016,Men 100 Backstroke LCM Male,USA,United States of America,"MURPHY, Ryan",M,02/07/1995,,,3,3,1005,Rio de Janeiro,BRA
National Chinese Championships (50m),51.86,08/04/2017,Men 100 Backstroke LCM Male,CHN,People's Republic of China,"XU, Jiayu",M,19/08/1995,,,4,4,999,Qingdae,CHN
19th FINA World Championships Budapest 2022,51.93,25/06/2022,Men 100 Backstroke LCM Male,ITA,Italy,"CECCON, Thomas",M,27/01/2001,,,5,5,995,Budapest,HUN
13th Pan Pacific Championships 2018,51.94,10/08/2018,Men 100 Backstroke LCM Male,USA,United States of America,"MURPHY, Ryan",M,02/07/1995,,,6,6,994,Tokyo,JPN
US National Championships (50m),51.94,08/07/2009,Men 100 Backstroke LCM Male,USA,United States of America,"PEIRSOL, Aaron",M,23/07/1983,,,6,7,,Indianapolis,USA
19th FINA World Championships Budapest 2022,51.97,20/06/2022,Men 100 Backstroke LCM Male,USA,United States of America,"MURPHY, Ryan",M,02/07/1995,,,8,8,993,Budapest,HUN
Olympic Games Rio 2016,51.97,08/08/2016,Men 100 Backstroke LCM Male,USA,United States of America,"MURPHY, Ryan",M,02/07/1995,,,8,9,998,Rio de Janeiro,BRA
19th FINA World Championships Budapest 2022,51.98,20/06/2022,Men 100 Backstroke LCM Male,USA,United States of America,"ARMSTRONG, Hunter",M,24/01/2001,,,10,10,992,Budapest,HUN
Olympic Games Tokyo 2020,51.98,27/07/2021,Men 100 Backstroke LCM Male,ROC,ROC,"RYLOV, Evgeny",M,23/09/1996,,,10,11,992,Tokyo,JPN
