meet_name,swim_time,swim_date,full_desc,team_code,team_short_name,full_name_computed,gender,birth_date,event_id,standard_name,RANK,Rank_Order,fina_points,meet_city,country_code
18th FINA World Championships 2019,56.88,21/07/2019,Men 100 Breaststroke LCM Male,GBR,Great Britain,"PEATY, Adam",M,28/12/1994,,,1,1,1011,Gwangju,KOR
European Championships 2018,57.10,04/08/2018,Men 100 Breaststroke LCM Male,GBR,Great Britain,"PEATY, Adam",M,28/12/1994,,,2,2,1001,Glasgow,GBR
Olympic Games Rio 2016,57.13,07/08/2016,Men 100 Breaststroke LCM Male,GBR,Great Britain,"PEATY, Adam",M,28/12/1994,,,3,3,1042,Rio de Janeiro,BRA
18th FINA World Championships 2019,57.14,22/07/2019,Men 100 Breaststroke LCM Male,GBR,Great Britain,"PEATY, Adam",M,28/12/1994,,,4,4,997,Gwangju,KOR
Olympic Games Tokyo 2020,57.37,26/07/2021,Men 100 Breaststroke LCM Male,GBR,Great Britain,"PEATY, Adam",M,28/12/1994,,,5,5,974,Tokyo,JPN
British National Swimming Championships (50m),57.39,14/04/2021,Men 100 Breaststroke LCM Male,GBR,Great Britain,"PEATY, Adam",M,28/12/1994,,,6,6,973,London,GBR
17th FINA World Championships 2017,57.47,24/07/2017,Men 100 Breaststroke LCM Male,GBR,Great Britain,"PEATY, Adam",M,28/12/1994,,,7,7,982,Budapest,HUN
Olympic Games Rio 2016,57.55,06/08/2016,Men 100 Breaststroke LCM Male,GBR,Great Britain,"PEATY, Adam",M,28/12/1994,,,8,8,1019,Rio de Janeiro,BRA
Olympic Games Tokyo 2020,57.56,24/07/2021,Men 100 Breaststroke LCM Male,GBR,Great Britain,"PEATY, Adam",M,28/12/1994,,,9,9,964,Tokyo,JPN
18th FINA World Championships 2019,57.59,21/07/2019,Men 100 Breaststroke LCM Male,GBR,Great Britain,"PEATY, Adam",M,28/12/1994,,,10,10,974,Gwangju,KOR
Olympic Games Rio 2016,57.62,06/08/2016,Men 100 Breaststroke LCM Male,GBR,Great Britain,"PEATY, Adam",M,28/12/1994,,,11,11,1015,Rio de Janeiro,BRA
Olympic Games Tokyo 2020,57.63,25/07/2021,Men 100 Breaststroke LCM Male,GBR,Great Britain,"PEATY, Adam",M,28/12/1994,,,12,12,961,Tokyo,JPN
European Championships 2021,57.66,18/05/2021,Men 100 Breaststroke LCM Male,GBR,Great Britain,"PEATY, Adam",M,28/12/1994,,,13,13,959,Budapest,HUN
European Championships 2021,57.67,17/05/2021,Men 100 Breaststroke LCM Male,GBR,Great Britain,"PEATY, Adam",M,28/12/1994,,,14,14,959,Budapest,HUN
World Aquatics Championships - Fukuoka 2023,57.69,24/07/2023,Men 100 Breaststroke LCM Male,CHN,People's Republic of China,"QIN, Haiyang",M,17/05/1999,,,15,15,958,Fukuoka,JPN
British National Swimming Championships (50m),57.70,14/04/2021,Men 100 Breaststroke LCM Male,GBR,Great Britain,"PEATY, Adam",M,28/12/1994,,,16,16,957,London,GBR
17th FINA World Championships 2017,57.75,23/07/2017,Men 100 Breaststroke LCM Male,GBR,Great Britain,"PEATY, Adam",M,28/12/1994,,,17,17,968,Budapest,HUN
British National Championships (50m),57.79,18/04/2017,Men 100 Breaststroke LCM Male,GBR,Great Britain,"PEATY, Adam",M,28/12/1994,,,18,18,966,Sheffield,GBR
Olympic Games Tokyo 2020,57.80,24/07/2021,Men 100 Breaststroke LCM Male,NED,Netherlands,"KAMMINGA, Arno",M,22/10/1995,,,19,19,953,Tokyo,JPN
World Aquatics Championships - Fukuoka 2023,57.82,23/07/2023,Men 100 Breaststroke LCM Male,CHN,People's Republic of China,"QIN, Haiyang",M,17/05/1999,,,20,20,952,Fukuoka,JPN
British Swimming Championships (50m),57.87,16/04/2019,Men 100 Breaststroke LCM Male,GBR,Great Britain,"PEATY, Adam",M,28/12/1994,,,21,21,960,Glasgow,GBR
European Championships 2018,57.89,03/08/2018,Men 100 Breaststroke LCM Male,GBR,Great Britain,"PEATY, Adam",M,28/12/1994,,,22,22,961,Glasgow,GBR
British National Championships (50m),57.92,17/04/2015,Men 100 Breaststroke LCM Male,GBR,Great Britain,"PEATY, Adam",M,28/12/1994,,,23,23,1028,London,GBR
Chinese National Championships (50m),57.93,02/05/2023,Men 100 Breaststroke LCM Male,CHN,People's Republic of China,"QIN, Haiyang",M,17/05/1999,,,24,24,946,Hangzhou,CHN
Olympic Games Tokyo 2020,58.00,26/07/2021,Men 100 Breaststroke LCM Male,NED,Netherlands,"KAMMINGA, Arno",M,22/10/1995,,,25,25,943,Tokyo,JPN
European Championships 2018,58.04,03/08/2018,Men 100 Breaststroke LCM Male,GBR,Great Britain,"PEATY, Adam",M,28/12/1994,,,26,26,953,Glasgow,GBR
European Championships 2021,58.10,18/05/2021,Men 100 Breaststroke LCM Male,NED,Netherlands,"KAMMINGA, Arno",M,22/10/1995,,,27,27,938,Budapest,HUN
Edinburgh International Swim Meet,58.13,14/03/2020,Men 100 Breaststroke LCM Male,GBR,Great Britain,"PEATY, Adam",M,28/12/1994,,,28,28,936,Edinburgh,GBR
US Olympic Team Trials - Wave II,58.14,13/06/2021,Men 100 Breaststroke LCM Male,USA,United States of America,"ANDREW, Michael",M,18/04/1999,,,29,29,936,Omaha,USA
Mare Nostrum - Trofeu Internacional Ciutat de Barcelona 2019,58.15,15/06/2019,Men 100 Breaststroke LCM Male,GBR,Great Britain,"PEATY, Adam",M,28/12/1994,,,30,30,946,Barcelona,ESP
Mare Nostrum - Trofeu Internacional Ciutat de Barcelona 2021,58.18,06/06/2021,Men 100 Breaststroke LCM Male,NED,Netherlands,"KAMMINGA, Arno",M,22/10/1995,,,31,31,934,Barcelona,ESP
16th FINA World Championships 2015,58.18,02/08/2015,Men 100 Breaststroke LCM Male,GBR,Great Britain,"PEATY, Adam",M,28/12/1994,,,31,32,1014,Kazan,RUS
Olympic Games Tokyo 2020,58.19,25/07/2021,Men 100 Breaststroke LCM Male,NED,Netherlands,"KAMMINGA, Arno",M,22/10/1995,,,33,33,933,Tokyo,JPN
US Olympic Team Trials - Wave II,58.19,13/06/2021,Men 100 Breaststroke LCM Male,USA,United States of America,"ANDREW, Michael",M,18/04/1999,,,33,34,933,Omaha,USA
17th FINA World Championships 2017,58.21,23/07/2017,Men 100 Breaststroke LCM Male,GBR,Great Britain,"PEATY, Adam",M,28/12/1994,,,35,35,945,Budapest,HUN
British Swimming Glasgow Open Meet,58.22,04/06/2021,Men 100 Breaststroke LCM Male,GBR,Great Britain,"PEATY, Adam",M,28/12/1994,,,36,36,932,Glasgow,GBR
World Aquatics Championships - Fukuoka 2023,58.26,23/07/2023,Men 100 Breaststroke LCM Male,CHN,People's Republic of China,"QIN, Haiyang",M,17/05/1999,,,37,37,930,Fukuoka,JPN
European Championships 2022,58.26,12/08/2022,Men 100 Breaststroke LCM Male,ITA,Italy,"MARTINENGHI, Nicolo",M,01/08/1999,,,37,38,930,Rome,ITA
19th FINA World Championships Budapest 2022,58.26,19/06/2022,Men 100 Breaststroke LCM Male,ITA,Italy,"MARTINENGHI, Nicolo",M,01/08/1999,,,37,39,930,Budapest,HUN
