meet_name,swim_time,swim_date,full_desc,team_code,team_short_name,full_name_computed,gender,birth_date,event_id,standard_name,RANK,Rank_Order,fina_points,meet_city,country_code
Olympic Games Tokyo 2020,49.45,31/07/2021,Men 100 Butterfly LCM Male,USA,United States of America,"DRESSEL, Caeleb",M,16/08/1996,,,1,1,1003,Tokyo,JPN
18th FINA World Championships 2019,49.50,26/07/2019,Men 100 Butterfly LCM Male,USA,United States of America,"DRESSEL, Caeleb",M,16/08/1996,,,2,2,1019,Gwangju,KOR
18th FINA World Championships 2019,49.66,27/07/2019,Men 100 Butterfly LCM Male,USA,United States of America,"DRESSEL, Caeleb",M,16/08/1996,,,3,3,1009,Gwangju,KOR
Olympic Games Tokyo 2020,49.68,31/07/2021,Men 100 Butterfly LCM Male,HUN,Hungary,"MILAK, Kristof",M,20/02/2000,,,4,4,989,Tokyo,JPN
Olympic Games Tokyo 2020,49.71,30/07/2021,Men 100 Butterfly LCM Male,USA,United States of America,"DRESSEL, Caeleb",M,16/08/1996,,,5,5,987,Tokyo,JPN
US Olympic Team Trials - Wave II,49.76,18/06/2021,Men 100 Butterfly LCM Male,USA,United States of America,"DRESSEL, Caeleb",M,16/08/1996,,,6,6,984,Omaha,USA
13th FINA World Championships 2009,49.82,01/08/2009,Men 100 Butterfly LCM Male,USA,United States of America,"PHELPS, Michael",M,30/06/1985,,,7,7,,Rome,ITA
17th FINA World Championships 2017,49.86,29/07/2017,Men 100 Butterfly LCM Male,USA,United States of America,"DRESSEL, Caeleb",M,16/08/1996,,,8,8,997,Budapest,HUN
US Olympic Team Trials - Wave II,49.87,19/06/2021,Men 100 Butterfly LCM Male,USA,United States of America,"DRESSEL, Caeleb",M,16/08/1996,,,9,9,977,Omaha,USA
13th FINA World Championships 2009,49.95,01/08/2009,Men 100 Butterfly LCM Male,SRB,Serbia,"CAVIC, Milorad",M,31/05/1984,,,10,10,,Rome,ITA
Phillips 66 International Team Trials 2022,50.01,28/04/2022,Men 100 Butterfly LCM Male,USA,United States of America,"DRESSEL, Caeleb",M,16/08/1996,,,11,11,966,Greensboro,USA
13th FINA World Championships 2009,50.01,31/07/2009,Men 100 Butterfly LCM Male,SRB,Serbia,"CAVIC, Milorad",M,31/05/1984,,,11,12,,Rome,ITA
17th FINA World Championships 2017,50.07,28/07/2017,Men 100 Butterfly LCM Male,USA,United States of America,"DRESSEL, Caeleb",M,16/08/1996,,,13,13,985,Budapest,HUN
17th FINA World Championships 2017,50.08,28/07/2017,Men 100 Butterfly LCM Male,USA,United States of America,"DRESSEL, Caeleb",M,16/08/1996,,,14,14,984,Budapest,HUN
World Aquatics Championships - Fukuoka 2023,50.14,29/07/2023,Men 100 Butterfly LCM Male,FRA,France,"GROUSSET, Maxime",M,24/04/1999,,,15,15,959,Fukuoka,JPN
19th FINA World Championships Budapest 2022,50.14,24/06/2022,Men 100 Butterfly LCM Male,HUN,Hungary,"MILAK, Kristof",M,20/02/2000,,,15,16,959,Budapest,HUN
19th FINA World Championships Budapest 2022,50.14,23/06/2022,Men 100 Butterfly LCM Male,HUN,Hungary,"MILAK, Kristof",M,20/02/2000,,,15,17,959,Budapest,HUN
US Olympic Team Trials - Wave II,50.17,18/06/2021,Men 100 Butterfly LCM Male,USA,United States of America,"DRESSEL, Caeleb",M,16/08/1996,,,18,18,960,Omaha,USA
European Championships 2021,50.18,23/05/2021,Men 100 Butterfly LCM Male,HUN,Hungary,"MILAK, Kristof",M,20/02/2000,,,19,19,959,Budapest,HUN
Phillips 66 International Team Trials 2022,50.20,28/04/2022,Men 100 Butterfly LCM Male,USA,United States of America,"DRESSEL, Caeleb",M,16/08/1996,,,20,20,955,Greensboro,USA
US National Championships (50m),50.22,09/07/2009,Men 100 Butterfly LCM Male,USA,United States of America,"PHELPS, Michael",M,30/06/1985,,,21,21,,Indianapolis,USA
18th FINA World Championships 2019,50.28,26/07/2019,Men 100 Butterfly LCM Male,USA,United States of America,"DRESSEL, Caeleb",M,16/08/1996,,,22,22,972,Gwangju,KOR
Olympic Games Tokyo 2020,50.31,30/07/2021,Men 100 Butterfly LCM Male,HUN,Hungary,"MILAK, Kristof",M,20/02/2000,,,23,23,952,Tokyo,JPN
European Championships 2022,50.33,14/08/2022,Men 100 Butterfly LCM Male,HUN,Hungary,"MILAK, Kristof",M,20/02/2000,,,24,24,948,Rome,ITA
World Aquatics Championships - Fukuoka 2023,50.34,29/07/2023,Men 100 Butterfly LCM Male,CAN,Canada,"LIENDO, Josh",M,20/08/2002,,,25,25,947,Fukuoka,JPN
Bell Canadian Swimming Trials 2023,50.36,29/03/2023,Men 100 Butterfly LCM Male,CAN,Canada,"LIENDO, Josh",M,20/08/2002,,,26,26,946,Toronto,CAN
Mission Viejo Swim Meet of Champions,50.36,23/06/2019,Men 100 Butterfly LCM Male,USA,United States of America,"DRESSEL, Caeleb",M,16/08/1996,,,26,27,968,Mission Viejo,USA
Olympic Games Tokyo 2020,50.39,29/07/2021,Men 100 Butterfly LCM Male,USA,United States of America,"DRESSEL, Caeleb",M,16/08/1996,,,28,28,947,Tokyo,JPN
Olympic Games Rio 2016,50.39,12/08/2016,Men 100 Butterfly LCM Male,SGP,Singapore,"SCHOOLING, Joseph",M,16/06/1995,,,28,29,966,Rio de Janeiro,BRA
Phillips 66 National Championships (50m) 2022,50.40,28/07/2022,Men 100 Butterfly LCM Male,USA,United States of America,"CASAS, Shaine",M,25/12/1999,,,30,30,944,Irvine,USA
11th FINA World Championships 2005,50.40,30/07/2005,Men 100 Butterfly LCM Male,USA,United States of America,"CROCKER, Ian",M,31/08/1982,,,30,31,,Montreal,CAN
