meet_name,swim_time,swim_date,full_desc,team_code,team_short_name,full_name_computed,gender,birth_date,event_id,standard_name,RANK,Rank_Order,fina_points,meet_city,country_code
European Championships 2022,46.86,13/08/2022,Men 100 Freestyle LCM Male,ROU,Romania,"POPOVICI, David",M,15/09/2004,,,1,1,1003,Rome,ITA
13th FINA World Championships 2009,46.91,30/07/2009,Men 100 Freestyle LCM Male,BRA,Brazil,"CIELO FILHO, Cesar",M,10/01/1987,,,2,2,,Rome,ITA
French National Championships (50m),46.94,23/04/2009,Men 100 Freestyle LCM Male,FRA,France,"BERNARD, Alain",M,01/05/1983,,,3,3,,Montpellier,FRA
18th FINA World Championships 2019,46.96,25/07/2019,Men 100 Freestyle LCM Male,USA,United States of America,"DRESSEL, Caeleb",M,16/08/1996,,,4,4,996,Gwangju,KOR
European Championships 2022,46.98,12/08/2022,Men 100 Freestyle LCM Male,ROU,Romania,"POPOVICI, David",M,15/09/2004,,,5,5,995,Rome,ITA
Olympic Games Tokyo 2020,47.02,29/07/2021,Men 100 Freestyle LCM Male,USA,United States of America,"DRESSEL, Caeleb",M,16/08/1996,,,6,6,992,Tokyo,JPN
Australian National Championships (50m),47.04,10/04/2016,Men 100 Freestyle LCM Male,AUS,Australia,"MCEVOY, Cameron",M,13/05/1994,,,7,7,991,Adelaide,AUS
Olympic Games Beijing 2008,47.05,13/08/2008,Men 100 Freestyle LCM Male,AUS,Australia,"SULLIVAN, Eamon",M,30/08/1985,,,8,8,1032,Beijing,CHN
8th FINA World Junior Swimming Championships 2022,47.07,30/08/2022,Men 100 Freestyle LCM Male,ROU,Romania,"POPOVICI, David",M,15/09/2004,,,9,9,989,Lima,PER
Olympic Games Tokyo 2020,47.08,29/07/2021,Men 100 Freestyle LCM Male,AUS,Australia,"CHALMERS, Kyle",M,25/06/1998,,,10,10,989,Tokyo,JPN
18th FINA World Championships 2019,47.08,25/07/2019,Men 100 Freestyle LCM Male,AUS,Australia,"CHALMERS, Kyle",M,25/06/1998,,,10,11,989,Gwangju,KOR
13th FINA World Championships 2009,47.09,26/07/2009,Men 100 Freestyle LCM Male,BRA,Brazil,"CIELO FILHO, Cesar",M,10/01/1987,,,12,12,,Rome,ITA
2012 EnergyAustralia Swimming,47.10,15/03/2012,Men 100 Freestyle LCM Male,AUS,Australia,"MAGNUSSEN, James",M,11/04/1991,,,13,13,987,Adelaide,AUS
Olympic Games Tokyo 2020,47.11,28/07/2021,Men 100 Freestyle LCM Male,ROC,ROC,"KOLESNIKOV, Kliment",M,09/07/2000,,,14,14,987,Tokyo,JPN
13th FINA World Championships 2009,47.12,30/07/2009,Men 100 Freestyle LCM Male,FRA,France,"BERNARD, Alain",M,01/05/1983,,,15,15,,Rome,ITA
8th FINA World Junior Swimming Championships 2022,47.13,04/09/2022,Men 100 Freestyle LCM Male,ROU,Romania,"POPOVICI, David",M,15/09/2004,,,16,16,986,Lima,PER
19th FINA World Championships Budapest 2022,47.13,21/06/2022,Men 100 Freestyle LCM Male,ROU,Romania,"POPOVICI, David",M,15/09/2004,,,16,17,986,Budapest,HUN
World Aquatics Championships - Fukuoka 2023,47.15,27/07/2023,Men 100 Freestyle LCM Male,AUS,Australia,"CHALMERS, Kyle",M,25/06/1998,,,18,18,981,Fukuoka,JPN
17th FINA World Championships 2017,47.17,27/07/2017,Men 100 Freestyle LCM Male,USA,United States of America,"DRESSEL, Caeleb",M,16/08/1996,,,19,19,983,Budapest,HUN
European Championships 2022,47.20,12/08/2022,Men 100 Freestyle LCM Male,ROU,Romania,"POPOVICI, David",M,15/09/2004,,,20,20,981,Rome,ITA
Olympic Games Beijing 2008,47.20,13/08/2008,Men 100 Freestyle LCM Male,FRA,France,"BERNARD, Alain",M,01/05/1983,,,20,21,1023,Beijing,CHN
Olympic Games Beijing 2008,47.21,14/08/2008,Men 100 Freestyle LCM Male,FRA,France,"BERNARD, Alain",M,01/05/1983,,,22,22,1022,Beijing,CHN
Chinese National Championships (50m),47.22,01/05/2023,Men 100 Freestyle LCM Male,CHN,People's Republic of China,"PAN, Zhanle",M,04/08/2004,,,23,23,977,Hangzhou,CHN
Olympic Games Tokyo 2020,47.23,28/07/2021,Men 100 Freestyle LCM Male,USA,United States of America,"DRESSEL, Caeleb",M,16/08/1996,,,24,24,979,Tokyo,JPN
Olympic Games Beijing 2008,47.24,11/08/2008,Men 100 Freestyle LCM Male,AUS,Australia,"SULLIVAN, Eamon",M,30/08/1985,,,25,25,1020,Beijing,CHN
13th FINA World Championships 2009,47.25,30/07/2009,Men 100 Freestyle LCM Male,FRA,France,"BOUSQUET, Frederick",M,08/04/1981,,,26,26,,Rome,ITA
Olympic Games Tokyo 2020,47.26,26/07/2021,Men 100 Freestyle LCM Male,USA,United States of America,"DRESSEL, Caeleb",M,16/08/1996,,,27,27,977,Tokyo,JPN
17th FINA World Championships 2017,47.26,23/07/2017,Men 100 Freestyle LCM Male,USA,United States of America,"DRESSEL, Caeleb",M,16/08/1996,,,27,28,977,Budapest,HUN
13th FINA World Championships 2009,47.27,30/07/2009,Men 100 Freestyle LCM Male,CAN,Canada,"HAYDEN, Brent",M,21/10/1983,,,29,29,,Rome,ITA
13th FINA World Championships 2009,47.27,29/07/2009,Men 100 Freestyle LCM Male,FRA,France,"BERNARD, Alain",M,01/05/1983,,,29,30,,Rome,ITA
European Junior Swimming Championships 2021,47.30,08/07/2021,Men 100 Freestyle LCM Male,ROU,Romania,"POPOVICI, David",M,15/09/2004,,,31,31,975,Rome,ITA
World Aquatics Championships - Fukuoka 2023,47.31,27/07/2023,Men 100 Freestyle LCM Male,USA,United States of America,"ALEXY, Jack",M,19/01/2003,,,32,32,971,Fukuoka,JPN
Russian National Championships (50m),47.31,07/04/2021,Men 100 Freestyle LCM Male,RUS,Russian Federation,"KOLESNIKOV, Kliment",M,09/07/2000,,,32,33,974,Kazan,RUS
18th FINA World Championships 2019,47.32,24/07/2019,Men 100 Freestyle LCM Male,USA,United States of America,"DRESSEL, Caeleb",M,16/08/1996,,,34,34,974,Gwangju,KOR
Olympic Games Beijing 2008,47.32,14/08/2008,Men 100 Freestyle LCM Male,AUS,Australia,"SULLIVAN, Eamon",M,30/08/1985,,,34,35,1015,Beijing,CHN
13th FINA World Championships 2009,47.33,30/07/2009,Men 100 Freestyle LCM Male,USA,United States of America,"WALTERS, David",M,27/09/1987,,,36,36,,Rome,ITA
18th FINA World Championships 2019,47.35,24/07/2019,Men 100 Freestyle LCM Male,USA,United States of America,"DRESSEL, Caeleb",M,16/08/1996,,,37,37,972,Gwangju,KOR
Hancock Prospecting Australian Swimming Trials 2019,47.35,12/06/2019,Men 100 Freestyle LCM Male,AUS,Australia,"CHALMERS, Kyle",M,25/06/1998,,,37,38,972,Brisbane,AUS
22nd Commonwealth Games 2022,47.36,31/07/2022,Men 100 Freestyle LCM Male,AUS,Australia,"CHALMERS, Kyle",M,25/06/1998,,,39,39,971,Birmingham,GBR
8th FINA World Junior Swimming Championships 2022,47.37,30/08/2022,Men 100 Freestyle LCM Male,ROU,Romania,"POPOVICI, David",M,15/09/2004,,,40,40,971,Lima,PER
European Championships 2021,47.37,19/05/2021,Men 100 Freestyle LCM Male,RUS,Russian Federation,"KOLESNIKOV, Kliment",M,09/07/2000,,,40,41,971,Budapest,HUN
13th FINA World Championships 2009,47.37,30/07/2009,Men 100 Freestyle LCM Male,SWE,Sweden,"NYSTRAND, Stefan",M,20/10/1981,,,40,42,,Rome,ITA
US Olympic Team Trials - Wave II,47.39,17/06/2021,Men 100 Freestyle LCM Male,USA,United States of America,"DRESSEL, Caeleb",M,16/08/1996,,,43,43,969,Omaha,USA
Philipps 66 USA National Championships (50m),47.39,31/07/2019,Men 100 Freestyle LCM Male,USA,United States of America,"HELD, Ryan",M,27/06/1995,,,43,44,969,Palo Alto,USA
13th FINA World Championships 2009,47.39,26/07/2009,Men 100 Freestyle LCM Male,BRA,Brazil,"CIELO FILHO, Cesar",M,10/01/1987,,,43,45,,Rome,ITA
World Aquatics Championships - Fukuoka 2023,47.42,27/07/2023,Men 100 Freestyle LCM Male,FRA,France,"GROUSSET, Maxime",M,24/04/1999,,,46,46,964,Fukuoka,JPN
World Aquatics Championships - Fukuoka 2023,47.43,27/07/2023,Men 100 Freestyle LCM Male,CHN,People's Republic of China,"PAN, Zhanle",M,04/08/2004,,,47,47,964,Fukuoka,JPN
Philipps 66 USA National Championships (50m),47.43,31/07/2019,Men 100 Freestyle LCM Male,USA,United States of America,"HELD, Ryan",M,27/06/1995,,,47,48,967,Palo Alto,USA
Russian National Championships (50m),47.43,09/04/2019,Men 100 Freestyle LCM Male,RUS,Russian Federation,"GRINEV, Vladislav",M,21/07/1996,,,47,49,967,Moscow,RUS
Australian Swimming Trials,47.44,16/06/2023,Men 100 Freestyle LCM Male,AUS,Australia,"CHALMERS, Kyle",M,25/06/1998,,,50,50,963,Melbourne,AUS
Olympic Games Tokyo 2020,47.44,29/07/2021,Men 100 Freestyle LCM Male,ROC,ROC,"KOLESNIKOV, Kliment",M,09/07/2000,,,50,51,966,Tokyo,JPN
World Aquatics Championships - Fukuoka 2023,47.45,27/07/2023,Men 100 Freestyle LCM Male,GBR,Great Britain,"RICHARDS, Matthew",M,17/12/2002,,,52,52,963,Fukuoka,JPN
European Championships 2021,47.45,19/05/2021,Men 100 Freestyle LCM Male,ITA,Italy,"MIRESSI, Alessandro",M,02/10/1998,,,52,53,966,Budapest,HUN
Olympic Games Tokyo 2020,47.46,25/07/2021,Men 100 Freestyle LCM Male,ITA,Italy,"MIRESSI, Alessandro",M,02/10/1998,,,54,54,965,Tokyo,JPN
World Aquatics Championships - Fukuoka 2023,47.47,26/07/2023,Men 100 Freestyle LCM Male,GBR,Great Britain,"RICHARDS, Matthew",M,17/12/2002,,,55,55,961,Fukuoka,JPN
European Championships 2022,47.47,13/08/2022,Men 100 Freestyle LCM Male,HUN,Hungary,"MILAK, Kristof",M,20/02/2000,,,55,56,965,Rome,ITA
Hancock Prospecting Australian National Championships (50m),47.48,08/04/2019,Men 100 Freestyle LCM Male,AUS,Australia,"CHALMERS, Kyle",M,25/06/1998,,,57,57,964,Adelaide,AUS
13th FINA World Championships 2009,47.48,29/07/2009,Men 100 Freestyle LCM Male,BRA,Brazil,"CIELO FILHO, Cesar",M,10/01/1987,,,57,58,,Rome,ITA
14th FINA World Championships 2011,47.49,24/07/2011,Men 100 Freestyle LCM Male,AUS,Australia,"MAGNUSSEN, James",M,11/04/1991,,,59,59,963,Shanghai,CHN
European Championships 2008,47.50,22/03/2008,Men 100 Freestyle LCM Male,FRA,France,"BERNARD, Alain",M,01/05/1983,,,60,60,1003,Eindhoven,NED
22nd Commonwealth Games 2022,47.51,01/08/2022,Men 100 Freestyle LCM Male,AUS,Australia,"CHALMERS, Kyle",M,25/06/1998,,,61,61,962,Birmingham,GBR
Olympic Games Beijing 2008,47.51,11/08/2008,Men 100 Freestyle LCM Male,USA,United States of America,"PHELPS, Michael",M,30/06/1985,,,61,62,1003,Beijing,CHN
World Aquatics Championships - Fukuoka 2023,47.52,26/07/2023,Men 100 Freestyle LCM Male,AUS,Australia,"CHALMERS, Kyle",M,25/06/1998,,,63,63,958,Fukuoka,JPN
Olympic Games Tokyo 2020,47.52,28/07/2021,Men 100 Freestyle LCM Male,ITA,Italy,"MIRESSI, Alessandro",M,02/10/1998,,,63,64,961,Tokyo,JPN
Olympic Games Tokyo 2020,47.52,26/07/2021,Men 100 Freestyle LCM Male,FRA,France,"GROUSSET, Maxime",M,24/04/1999,,,63,65,961,Tokyo,JPN
Olympic Games London 2012,47.52,01/08/2012,Men 100 Freestyle LCM Male,USA,United States of America,"ADRIAN, Nathan",M,07/12/1988,,,63,66,961,London,GBR
13th FINA World Championships 2009,47.52,26/07/2009,Men 100 Freestyle LCM Male,SWE,Sweden,"NYSTRAND, Stefan",M,20/10/1981,,,63,67,,Rome,ITA
European Championships 2021,47.53,18/05/2021,Men 100 Freestyle LCM Male,ITA,Italy,"MIRESSI, Alessandro",M,02/10/1998,,,68,68,961,Budapest,HUN
European Championships 2021,47.53,18/05/2021,Men 100 Freestyle LCM Male,RUS,Russian Federation,"KOLESNIKOV, Kliment",M,09/07/2000,,,68,69,961,Budapest,HUN
2013 EnergyAustralia Swimming,47.53,26/04/2013,Men 100 Freestyle LCM Male,AUS,Australia,"MAGNUSSEN, James",M,11/04/1991,,,68,70,961,Adelaide,AUS
Olympic Games London 2012,47.53,01/08/2012,Men 100 Freestyle LCM Male,AUS,Australia,"MAGNUSSEN, James",M,11/04/1991,,,68,71,961,London,GBR
13th FINA World Championships 2009,47.53,29/07/2009,Men 100 Freestyle LCM Male,SWE,Sweden,"NYSTRAND, Stefan",M,20/10/1981,,,68,72,,Rome,ITA
World Aquatics Championships - Fukuoka 2023,47.54,23/07/2023,Men 100 Freestyle LCM Male,ITA,Italy,"MIRESSI, Alessandro",M,02/10/1998,,,73,73,957,Fukuoka,JPN
European Junior Swimming Championships 2022,47.54,05/07/2022,Men 100 Freestyle LCM Male,ROU,Romania,"POPOVICI, David",M,15/09/2004,,,73,74,960,Otopeni,ROU
19th FINA World Championships Budapest 2022,47.54,21/06/2022,Men 100 Freestyle LCM Male,FRA,France,"GROUSSET, Maxime",M,24/04/1999,,,73,75,960,Budapest,HUN
19th FINA World Championships Budapest 2022,47.55,21/06/2022,Men 100 Freestyle LCM Male,CAN,Canada,"LIENDO, Josh",M,20/08/2002,,,76,76,960,Budapest,HUN
Olympic Games Tokyo 2020,47.56,28/07/2021,Men 100 Freestyle LCM Male,KOR,Republic of Korea,"HWANG, Sunwoo",M,21/05/2003,,,77,77,959,Tokyo,JPN
European Junior Swimming Championships 2021,47.56,06/07/2021,Men 100 Freestyle LCM Male,ROU,Romania,"POPOVICI, David",M,15/09/2004,,,77,78,959,Rome,ITA
Aquatic Super Series 2016,47.56,05/02/2016,Men 100 Freestyle LCM Male,AUS,Australia,"MCEVOY, Cameron",M,13/05/1994,,,77,79,959,Perth,AUS
Olympic Games Beijing 2008,47.56,11/08/2008,Men 100 Freestyle LCM Male,CAN,Canada,"HAYDEN, Brent",M,21/10/1983,,,77,80,1000,Beijing,CHN
Russian National  Championships (50m),47.57,30/10/2020,Men 100 Freestyle LCM Male,RUS,Russian Federation,"MINAKOV, Andrei",M,17/03/2002,,,81,81,958,Kazan,RUS
19th FINA World Championships Budapest 2022,47.58,22/06/2022,Men 100 Freestyle LCM Male,ROU,Romania,"POPOVICI, David",M,15/09/2004,,,82,82,958,Budapest,HUN
18th FINA World Championships 2019,47.58,24/07/2019,Men 100 Freestyle LCM Male,AUS,Australia,"CHALMERS, Kyle",M,25/06/1998,,,82,83,958,Gwangju,KOR
Olympic Games Rio 2016,47.58,10/08/2016,Men 100 Freestyle LCM Male,AUS,Australia,"CHALMERS, Kyle",M,25/06/1998,,,82,84,958,Rio de Janeiro,BRA
World Aquatics Championships - Fukuoka 2023,47.59,26/07/2023,Men 100 Freestyle LCM Male,GBR,Great Britain,"RICHARDS, Matthew",M,17/12/2002,,,85,85,954,Fukuoka,JPN
Hancock Prospecting Australian Swimming Trials 2021,47.59,15/06/2021,Men 100 Freestyle LCM Male,AUS,Australia,"CHALMERS, Kyle",M,25/06/1998,,,85,86,957,Adelaide,AUS
2014 BHP Billiton Aquatic Super Series,47.59,31/01/2014,Men 100 Freestyle LCM Male,AUS,Australia,"MAGNUSSEN, James",M,11/04/1991,,,85,87,957,Perth,AUS
13th FINA World Championships 2009,47.59,29/07/2009,Men 100 Freestyle LCM Male,USA,United States of America,"WALTERS, David",M,27/09/1987,,,85,88,,Rome,ITA
European Championships 2022,47.60,12/08/2022,Men 100 Freestyle LCM Male,ITA,Italy,"MIRESSI, Alessandro",M,02/10/1998,,,89,89,957,Rome,ITA
19th FINA World Championships Budapest 2022,47.60,21/06/2022,Men 100 Freestyle LCM Male,ROU,Romania,"POPOVICI, David",M,15/09/2004,,,89,90,957,Budapest,HUN
Russian National Championships (50m),47.60,06/04/2021,Men 100 Freestyle LCM Male,RUS,Russian Federation,"KOLESNIKOV, Kliment",M,09/07/2000,,,89,91,957,Kazan,RUS
Brazilian National Championships (50m),47.60,10/05/2009,Men 100 Freestyle LCM Male,BRA,Brazil,"CIELO FILHO, Cesar",M,10/01/1987,,,89,92,,Rio de Janeiro,BRA
European Championships 2008,47.60,21/03/2008,Men 100 Freestyle LCM Male,FRA,France,"BERNARD, Alain",M,01/05/1983,,,89,93,997,Eindhoven,NED
World Aquatics Championships - Fukuoka 2023,47.61,26/07/2023,Men 100 Freestyle LCM Male,CHN,People's Republic of China,"PAN, Zhanle",M,04/08/2004,,,94,94,953,Fukuoka,JPN
Romanian National Championships (50m),47.61,08/04/2023,Men 100 Freestyle LCM Male,ROU,Romania,"POPOVICI, David",M,15/09/2004,,,94,95,953,Otopeni,ROU
Philipps 66 USA National Championships (50m),47.61,31/07/2019,Men 100 Freestyle LCM Male,USA,United States of America,"ROONEY, Maxime",M,16/04/1998,,,94,96,956,Palo Alto,USA
World Aquatics Championships - Fukuoka 2023,47.62,26/07/2023,Men 100 Freestyle LCM Male,HUN,Hungary,"NEMETH, Nandor",M,19/11/1999,,,97,97,952,Fukuoka,JPN
French Elite Championships,47.62,13/06/2023,Men 100 Freestyle LCM Male,FRA,France,"GROUSSET, Maxime",M,24/04/1999,,,97,98,952,Rennes,FRA
27th Summer Universiade 2013,47.62,14/07/2013,Men 100 Freestyle LCM Male,RUS,Russian Federation,"MOROZOV, Vladimir",M,16/06/1992,,,97,99,955,Kazan,RUS
Phillips 66 National Championships (50m),47.63,27/06/2023,Men 100 Freestyle LCM Male,USA,United States of America,"HELD, Ryan",M,27/06/1995,,,100,100,952,Indianapolis,USA
European Championships 2022,47.63,13/08/2022,Men 100 Freestyle LCM Male,ITA,Italy,"MIRESSI, Alessandro",M,02/10/1998,,,100,101,955,Rome,ITA
19th FINA World Championships Budapest 2022,47.63,21/06/2022,Men 100 Freestyle LCM Male,GBR,Great Britain,"BURRAS, Lewis Edward",M,12/02/2000,,,100,102,955,Budapest,HUN
18th FINA World Championships 2019,47.63,21/07/2019,Men 100 Freestyle LCM Male,USA,United States of America,"DRESSEL, Caeleb",M,16/08/1996,,,100,103,955,Gwangju,KOR
Olympic Games London 2012,47.63,31/07/2012,Men 100 Freestyle LCM Male,AUS,Australia,"MAGNUSSEN, James",M,11/04/1991,,,100,104,955,London,GBR
2012 EnergyAustralia Swimming,47.63,15/03/2012,Men 100 Freestyle LCM Male,AUS,Australia,"ROBERTS, James",M,11/04/1991,,,100,105,955,Adelaide,AUS
14th FINA World Championships 2011,47.63,28/07/2011,Men 100 Freestyle LCM Male,AUS,Australia,"MAGNUSSEN, James",M,11/04/1991,,,100,106,955,Shanghai,CHN
19th FINA World Championships Budapest 2022,47.64,22/06/2022,Men 100 Freestyle LCM Male,FRA,France,"GROUSSET, Maxime",M,24/04/1999,,,107,107,954,Budapest,HUN
19th FINA World Championships Budapest 2022,47.65,21/06/2022,Men 100 Freestyle LCM Male,CHN,People's Republic of China,"PAN, Zhanle",M,04/08/2004,,,108,108,954,Budapest,HUN
Russian National Championships (50m),47.65,10/04/2019,Men 100 Freestyle LCM Male,RUS,Russian Federation,"GRINEV, Vladislav",M,21/07/1996,,,108,109,954,Moscow,RUS
17th FINA World Championships 2017,47.65,26/07/2017,Men 100 Freestyle LCM Male,FRA,France,"METELLA, Mehdy",M,17/07/1992,,,108,110,954,Budapest,HUN
China Autumn Nationals,47.65,14/10/2014,Men 100 Freestyle LCM Male,CHN,People's Republic of China,"NING, Zetao",M,06/03/1993,,,108,111,954,Huangshan,CHN
Australian National Championships (50m),47.65,01/04/2014,Men 100 Freestyle LCM Male,AUS,Australia,"MCEVOY, Cameron",M,13/05/1994,,,108,112,954,Brisbane,AUS
World Aquatics Championships - Fukuoka 2023,47.66,26/07/2023,Men 100 Freestyle LCM Male,ROU,Romania,"POPOVICI, David",M,15/09/2004,,,113,113,950,Fukuoka,JPN
17th FINA World Championships 2017,47.66,26/07/2017,Men 100 Freestyle LCM Male,USA,United States of America,"DRESSEL, Caeleb",M,16/08/1996,,,113,114,953,Budapest,HUN
13th FINA World Championships 2009,47.66,29/07/2009,Men 100 Freestyle LCM Male,SWE,Sweden,"NYSTRAND, Stefan",M,20/10/1981,,,113,115,,Rome,ITA
World Aquatics Championships - Fukuoka 2023,47.67,23/07/2023,Men 100 Freestyle LCM Male,CHN,People's Republic of China,"PAN, Zhanle",M,04/08/2004,,,116,116,949,Fukuoka,JPN
19th FINA World Championships Budapest 2022,47.67,18/06/2022,Men 100 Freestyle LCM Male,USA,United States of America,"DRESSEL, Caeleb",M,16/08/1996,,,116,117,952,Budapest,HUN
7th EDF Open Swimming,47.67,06/07/2013,Men 100 Freestyle LCM Male,AUS,Australia,"MAGNUSSEN, James",M,11/04/1991,,,116,118,952,Vichy,FRA
